record_id,standard_acronym,project_public_id,project_name,country_standard,project_type,project_status,geometry_type,wkt
VCS_5879_2026-04-01,VCS,5879,Amazon Forest Landscape Restoration - Outgrowers Component,Peru,VCS Version 3,Under validation,Point,POINT (-8.543193 -74.812032)
VCS_5883_2026-04-01,VCS,5883,Guizhou Qinglong CMM Phase IV Power Generation Project,China,VCS Version 3,Under validation,Point,POINT (106.149996 26.991845)
VCS_5884_2026-04-01,VCS,5884,Guizhou Zhongxin CMM Power Generation Project,China,VCS Version 3,Under validation,Point,POINT (106.01464 27.19603)
VCS_5885_2026-04-01,VCS,5885,Guizhou Anshun CMM Power Generation Project,China,VCS Version 3,Under validation,Point,POINT (105.898987 26.344225)
VCS_5886_2026-04-01,VCS,5886,Guizhou Jiangxi CMM Power Generation Project,China,VCS Version 3,Under validation,Point,POINT (105.996386 26.675)
VCS_5887_2026-04-01,VCS,5887,Bell Enviro -Malaysia Integrated Municipal Solid Waste Recovery and Processing Project,Malaysia,VCS Version 3,Under development,Point,POINT (101.55254 3.30609)
VCS_5903_2026-04-01,VCS,5903,Gewan District Cooling Plant,Qatar,VCS Version 3,Under validation,Point,POINT (51.53472 25.372222)
VCS_5904_2026-04-01,VCS,5904,Future Ecology Soil Organic Carbon Enhancement Project,Kazakhstan,VCS Version 3,Under development,Point,POINT (66.5 53)
VCS_5907_2026-04-01,VCS,5907,Future Ecology Improved Agricultural Land Management Project,Kazakhstan,VCS Version 3,Under development,Point,POINT (66.816665 52.233333)
VCS_5911_2026-04-01,VCS,5911,Maamba 100MW PV Solar Project,Zambia,VCS Version 3,Under validation,Point,POINT (27.194579 17.382553)
VCS_5930_2026-04-01,VCS,5930,Charged EV Project in Indonesia,Indonesia,VCS Version 3,Under validation,Point,POINT (117.9 -2.5)
VCS_5935_2026-04-01,VCS,5935,Clean Bricks Production in Pakistan,Pakistan,VCS Version 3,Under validation,Point,POINT (74.358749 31.782806)
VCS_5940_2026-04-01,VCS,5940,TGRA Improved Rice Production in India,India,VCS Version 3,Under development,Point,POINT (79.266924 17.050441)
VCS_5954_2026-04-01,VCS,5954,Yunyang County No.2 Domestic Waste Landfill Gas Power Generation Project,China,VCS Version 3,Under validation,Point,POINT (108.609656 30.987189)
VCS_5955_2026-04-01,VCS,5955,CASCAVEL LANDFILL GAS PROJECT,Brazil,VCS Version 3,Under validation,Point,POINT (57.296405 24.983751)
VCS_5962_2026-04-01,VCS,5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia.",Indonesia,VCS Version 3,Under validation,Point,POINT (102.863266 2.60603)
